Time,Latitude,Longitude,LLH,CorrectedLLH
512164684.9496639,-25.117617,34.498551,11.0395,10.9706
512164685.0005993,-25.114624,34.497786,11.0768,11.0079
512164685.05153394,-25.111629999999998,34.497022,11.1191,11.0502
512164685.1024694,-25.108636999999998,34.496257,11.1483,11.0794
512164685.1534049,-25.105643,34.495492999999996,11.0967,11.0278
512164685.20434046,-25.10265,34.494729,11.1347,11.0658
512164685.2552759,-25.099657,34.493964,11.0524,10.9835
512164685.3062115,-25.096663,34.4932,11.0566,10.9878
512164685.3571469,-25.09367,34.492436,11.0766,11.0077
512164685.4080825,-25.090676,34.491671,11.0802,11.0114
512164685.459018,-25.087683,34.490907,11.0591,10.9902
512164685.5099532,-25.084688999999997,34.490142999999996,11.0181,10.9493
512164685.56088877,-25.081695999999997,34.489379,11.0599,10.9911
512164685.6118243,-25.078702,34.488614999999996,11.0558,10.9870
512164685.6627598,-25.075709,34.487851,10.9736,10.9048
512164685.7136953,-25.072715,34.487086,11.1706,11.1017
512164685.7646308,-25.069722,34.486322,11.0961,11.0273
512164685.81556624,-25.066727999999998,34.485558,11.0241,10.9552
512164685.8665018,-25.063734999999998,34.484794,10.9043,10.8355
512164685.91743726,-25.060741,34.48403,11.0150,10.9462
512164685.9683728,-25.057748,34.483266,11.0054,10.9366
512164686.01930827,-25.054754,34.482502,10.9181,10.8493
512164686.0702447,-25.051761,34.481738,11.0156,10.9468
512164686.12118024,-25.048766999999998,34.480975,10.9632,10.8944
512164686.17211574,-25.045773999999998,34.480211,10.9700,10.9012
512164686.22305125,-25.04278,34.479447,11.0060,10.9372
512164686.2739868,-25.039787,34.478683,10.9402,10.8714
512164686.32492226,-25.036793,34.477919,10.8919,10.8231
512164686.37585783,-25.0338,34.477156,11.0005,10.9317
512164686.42679334,-25.030806,34.476392,10.9909,10.9221
512164686.4777288,-25.027813,34.475628,10.9766,10.9078
512164686.52866435,-25.024818999999997,34.474864,10.8723,10.8035
512164686.5795998,-25.021825999999997,34.474101,10.8444,10.7756
512164686.63053536,-25.018832,34.473337,10.8989,10.8301
512164686.6814709,-25.015838,34.472574,10.8816,10.8128
512164686.7324064,-25.012845,34.47181,10.9116,10.8428
512164686.7833419,-25.009850999999998,34.471046,10.8436,10.7748
512164686.83427733,-25.006857999999998,34.470282999999995,10.7927,10.7239
512164686.8852129,-25.003864,34.469519,10.8769,10.8081
512164686.93614835,-25.000871,34.468756,10.8910,10.8222
512164686.9870838,-24.997877,34.467993,10.7052,10.6364
512164687.0380182,-24.994884,34.467228999999996,10.9137,10.8449
512164687.0889537,-24.991889999999998,34.466466,10.9226,10.8538
512164687.1398892,-24.988896,34.465702,10.7856,10.7168
512164687.1908245,-24.985903,34.464939,10.7702,10.7014
512164687.24175996,-24.982909,34.464176,10.8033,10.7345
512164687.2926955,-24.979916,34.463412999999996,10.8133,10.7445
512164687.3436309,-24.976922,34.462649,10.7672,10.6984
512164687.3945665,-24.973927999999997,34.461886,10.8009,10.7321
512164687.445502,-24.970934999999997,34.461123,10.8138,10.7450
512164687.4964375,-24.967941,34.46036,10.6445,10.5757
512164687.547373,-24.964948,34.459596999999995,10.8843,10.8155
512164687.59830844,-24.961954,34.458833,10.8911,10.8223
512164687.649244,-24.958959999999998,34.45807,10.8996,10.8308
512164687.7001795,-24.955966999999998,34.457307,10.8552,10.7864
512164687.751115,-24.952973,34.456544,10.7808,10.7120
512164687.80205053,-24.949979,34.455781,10.7301,10.6613
512164687.8529861,-24.946986,34.455017999999995,10.8086,10.7398
512164687.90392154,-24.943991999999998,34.454254999999996,10.7757,10.7069
512164687.9548571,-24.940998,34.453492,10.7801,10.7113
