Time,Latitude,Longitude,Range,CorrectedRange,WetTropoCorrection,DryTropoCorrection,IonoCorrection
512164684.9496639,-25.117617, 34.498551,812318.1202,812315.6563,-0.1310,-2.3201,-0.0128
512164685.0005993,-25.114624, 34.497786,812316.9639,812314.5000,-0.1310,-2.3201,-0.0128
512164685.05153394,-25.111629999999998, 34.497022,812315.8026,812313.3387,-0.1310,-2.3201,-0.0128
512164685.1024694,-25.108636999999998, 34.496257,812314.6544,812312.1906,-0.1309,-2.3201,-0.0128
512164685.1534049,-25.105643, 34.495492999999996,812313.5871,812311.1233,-0.1309,-2.3201,-0.0128
512164685.20434046,-25.10265, 34.494729,812312.4302,812309.9665,-0.1309,-2.3201,-0.0128
512164685.2552759,-25.099657, 34.493964,812311.3937,812308.9300,-0.1308,-2.3200,-0.0128
512164685.3062115,-25.096663, 34.4932,812310.2707,812307.8071,-0.1308,-2.3200,-0.0128
512164685.3571469,-25.09367, 34.492436,812309.1321,812306.6685,-0.1307,-2.3200,-0.0128
512164685.4080825,-25.090676, 34.491671,812308.0098,812305.5463,-0.1307,-2.3200,-0.0128
512164685.459018,-25.087683, 34.490907,812306.9123,812304.4488,-0.1307,-2.3200,-0.0128
512164685.5099532,-25.084688999999997, 34.490142999999996,812305.8347,812303.3713,-0.1306,-2.3200,-0.0128
512164685.56088877,-25.081695999999997, 34.489379,812304.6745,812302.2111,-0.1306,-2.3200,-0.0128
512164685.6118243,-25.078702, 34.488614999999996,812303.5601,812301.0968,-0.1306,-2.3200,-0.0128
512164685.6627598,-25.075709, 34.487851,812302.5239,812300.0606,-0.1305,-2.3200,-0.0128
512164685.7136953,-25.072715, 34.487086,812301.2087,812298.7454,-0.1305,-2.3200,-0.0128
512164685.7646308,-25.069722, 34.486322,812300.1648,812297.7016,-0.1305,-2.3199,-0.0128
512164685.81556624,-25.066727999999998, 34.485558,812299.1186,812296.6554,-0.1304,-2.3199,-0.0128
512164685.8665018,-25.063734999999998, 34.484794,812298.1202,812295.6571,-0.1304,-2.3199,-0.0128
512164685.91743726,-25.060741, 34.48403,812296.8914,812294.4283,-0.1304,-2.3199,-0.0128
512164685.9683728,-25.057748, 34.483266,812295.7829,812293.3199,-0.1303,-2.3199,-0.0128
