Time,Latitude,Longitude,Range,CorrectedRange,WetTropoCorrection,DryTropoCorrection,IonoCorrection
512166002.35010576,52.339937, 13.68009,810498.5947,810496.2194,-0.0634,-2.2962,-0.0157
512166002.4010413,52.342872, 13.678668,810500.7681,810498.3927,-0.0634,-2.2963,-0.0157
512166002.4519768,52.345807, 13.677246,810500.3005,810497.9250,-0.0634,-2.2963,-0.0157
512166003.57255864,52.410373, 13.645919,810517.8138,810515.4369,-0.0641,-2.2971,-0.0157
512166003.67442966,52.416242, 13.643068,810519.4395,810517.0626,-0.0642,-2.2971,-0.0157
514498799.918442,52.330994, 13.681752,810662.7553,810660.3387,-0.0647,-2.3323,-0.0196
514498799.9679003,52.333844, 13.680371,810662.6923,810660.2757,-0.0647,-2.3323,-0.0196
514498800.01735735,52.336693999999994, 13.678989999999999,810660.2765,810657.8599,-0.0647,-2.3323,-0.0196
514498800.06681585,52.339543, 13.677608,810664.1219,810661.7053,-0.0647,-2.3323,-0.0196
514498800.11628747,52.342394, 13.676226999999999,810664.9559,810662.5393,-0.0647,-2.3323,-0.0196
514498800.1657462,52.345242999999996, 13.674845,810665.7153,810663.2987,-0.0647,-2.3323,-0.0196
514498800.2151923,52.348092, 13.673464,810667.4434,810665.0268,-0.0647,-2.3323,-0.0196
514498800.2646637,52.350941999999996, 13.672080999999999,810664.8418,810662.4252,-0.0647,-2.3323,-0.0196
514498800.31412244,52.353792, 13.670698999999999,810665.3681,810662.9515,-0.0647,-2.3323,-0.0196
514498800.36359406,52.356642, 13.669317,810666.0545,810663.6379,-0.0647,-2.3323,-0.0196
514498800.4130528,52.359491999999996, 13.667933999999999,810666.6517,810664.2351,-0.0647,-2.3323,-0.0196
514498800.4625113,52.362341, 13.666552,810667.3983,810664.9817,-0.0647,-2.3323,-0.0196
514498800.51198244,52.365192, 13.665168999999999,810668.0927,810665.6762,-0.0646,-2.3323,-0.0196
514498800.5614407,52.368041, 13.663786,810669.6869,810667.2704,-0.0646,-2.3323,-0.0196
514498800.6109116,52.370891, 13.662402,810669.9807,810667.5642,-0.0646,-2.3323,-0.0196
514498800.6603699,52.373740999999995, 13.661019,810669.9373,810667.5208,-0.0646,-2.3323,-0.0196
514498800.70982814,52.37659, 13.659635999999999,810670.6089,810668.1924,-0.0646,-2.3323,-0.0196
514498800.7592993,52.379439999999995, 13.658252,810671.1697,810668.7532,-0.0646,-2.3323,-0.0196
514498800.80875754,52.38229, 13.656868999999999,810671.6901,810669.2736,-0.0646,-2.3323,-0.0196
514498800.85822845,52.38514, 13.655484999999999,810672.3773,810669.9608,-0.0646,-2.3323,-0.0196
514498800.9076867,52.387989, 13.654100999999999,810673.0588,810670.6423,-0.0646,-2.3323,-0.0196
514498800.9571576,52.39084, 13.652716,810673.7198,810671.3033,-0.0646,-2.3323,-0.0196
514498801.0066159,52.393688999999995, 13.651332,810674.2474,810671.8309,-0.0646,-2.3323,-0.0196
514498801.0560751,52.396538, 13.649948,810675.0848,810672.6683,-0.0646,-2.3323,-0.0196
