Time,Latitude,Longitude,Range,CorrectedRange,LLH,CorrectedLLH,OrthometricHeight
514498801.6001539,52.427882999999994,13.634708999999999,810681.9447,810679.5287,71.9474,71.9611,32.2050
514498801.6496122,52.430732,13.633322999999999,810682.5816,810680.1656,71.9341,71.9478,32.1994
514498801.69907045,52.433581,13.631936999999999,810683.2517,810680.8358,71.8876,71.9014,32.1606
514498801.7485416,52.436431,13.63055,810683.8144,810681.3985,71.9487,71.9625,32.2294
514498801.79800034,52.43928,13.629163,810684.4795,810682.0636,71.9073,71.9210,32.1957
516831605.3751519,52.429793,13.635708,810564.5180,810562.0993,71.9987,71.9909,32.2420
516831605.42459726,52.432641,13.634322,810565.2500,810562.8314,71.8788,71.8711,32.1297
516831605.4740555,52.435491,13.632935999999999,810565.9370,810563.5185,71.8040,71.7963,32.0625
516831605.52350116,52.438339,13.631549999999999,810566.4419,810564.0235,71.9112,71.9035,32.1773
516831605.5729594,52.441188,13.630163999999999,810566.9730,810564.5547,71.9923,71.9846,32.2660
516831605.62241745,52.444038,13.628777,810567.6310,810565.2128,71.9465,71.9388,32.2278
519164405.9010644,52.427398,13.645399999999999,810335.1326,810332.6578,71.7602,71.7726,32.0279
519164405.95049715,52.430246,13.644015,810335.8235,810333.3487,71.6843,71.6967,31.9597
519164405.99991703,52.433093,13.642631,810336.3164,810333.8416,71.8063,71.8187,32.0894
519164406.04936147,52.435942,13.641245,810336.9196,810334.4449,71.8182,71.8306,32.1087
519164406.0987942,52.43879,13.639859999999999,810337.4548,810334.9801,71.8980,71.9104,32.1957
519164406.1482272,52.441638,13.638473999999999,810338.0758,810335.6012,71.8918,71.9042,32.1969
519164406.1976726,52.444486999999995,13.637087999999999,810338.6266,810336.1520,71.9562,71.9686,32.2686
521497206.20451784,52.433326,13.647295,810326.0505,810323.5346,70.9103,70.9687,31.2450
521497206.25395083,52.436174,13.645909999999999,810327.4977,810324.9819,70.0896,70.1480,30.4318
521497206.3033838,52.439021999999994,13.644525,810328.2130,810325.6972,70.0010,70.0594,30.3506
521497206.3528297,52.441871,13.643139,810328.1316,810325.6158,70.7091,70.7675,31.0661
521497206.40226316,52.444719,13.641753999999999,810327.8544,810325.3386,71.6130,71.6713,31.9774
523830005.3207636,52.440996999999996,13.646977999999999,810549.1707,810546.7027,70.2221,70.3011,30.6017
523830005.37020946,52.443846,13.645593,810549.5182,810547.0502,70.5038,70.5828,30.8907
523830005.4196682,52.446695,13.644207,810549.6729,810547.2050,70.9783,71.0573,31.3727
526162803.4296229,52.427869,13.637718,810642.0369,810639.5493,71.8647,71.9084,32.1556
526162803.479069,52.430718,13.636332,810642.5838,810640.0962,71.9391,71.9828,32.2377
526162803.52852774,52.433567,13.634945,810643.2677,810640.7800,71.8768,71.9205,32.1829
526162803.577986,52.436415999999994,13.633557999999999,810643.5235,810641.0358,72.2425,72.2862,32.5563
526162803.62743163,52.439265,13.632171999999999,810644.5464,810642.0587,71.8409,71.8846,32.1623
526162803.6768899,52.442114,13.630785,810645.8563,810643.3686,71.1524,71.1961,31.4814
526162803.7263608,52.444964,13.629396999999999,810646.2091,810643.7213,71.4213,71.4650,31.7579
528495609.23982835,52.428323999999996,13.630757,810522.4056,810519.9357,72.0757,72.0562,32.2967
528495609.2892866,52.431173,13.629370999999999,810523.1143,810520.6446,71.9828,71.9634,32.2114
530828406.9590173,52.429272999999995,13.646364,810391.4426,810389.0127,71.9680,71.9126,32.1753
530828407.00845027,52.432120999999995,13.644979,810391.9906,810389.5607,72.0417,71.9863,32.2567
530828407.0578821,52.434968999999995,13.643594,810392.6638,810390.2339,71.9902,71.9348,32.2125
530828407.1073277,52.437816999999995,13.642209,810393.3261,810390.8962,71.9498,71.8944,32.1794
530828407.15676045,52.440664999999996,13.640823,810393.8414,810391.4115,72.0563,72.0009,32.2932
530828407.20620584,52.443514,13.639437,810394.5452,810392.1154,71.9742,71.9189,32.2186
530828407.2556386,52.446362,13.638052,810395.2094,810392.7796,71.9317,71.8764,32.1834
533161204.808105,52.437826,13.647497999999999,810503.2258,810500.7700,71.9745,71.9374,32.2288
533161204.8575506,52.440675,13.646113,810503.9000,810501.4442,71.9307,71.8936,32.1926
533161204.9069834,52.443523,13.644727999999999,810504.5578,810502.1020,71.9032,71.8661,32.1728
533161204.95644164,52.446372,13.643341999999999,810505.2265,810502.7707,71.8650,71.8279,32.1422
535494003.3382392,52.427242,13.635638,810659.3834,810656.9731,71.9120,71.9270,32.1697
535494003.38769794,52.430091,13.634250999999999,810659.9426,810657.5323,71.9815,71.9965,32.2468
535494003.4371567,52.432941,13.632864999999999,810660.6178,810658.2075,71.9350,71.9500,32.2079
535494003.48660254,52.435789,13.631478,810661.2906,810658.8802,71.8908,71.9058,32.1713
535494003.5360608,52.438638,13.630091,810661.9453,810659.5349,71.8648,71.8798,32.1529
535494003.5855191,52.441486999999995,13.628703999999999,810662.6242,810660.2137,71.8147,71.8297,32.1104
537826806.0826383,52.428002,13.641288,810667.1885,810664.8189,71.8936,71.9300,32.1822
537826806.1320965,52.430851,13.639902,810667.8489,810665.4793,71.8535,71.8899,32.1495
537826806.1815548,52.433699999999995,13.638516,810668.5282,810666.1586,71.7945,71.8309,32.0980
537826806.2310259,52.43655,13.637129,810669.0673,810666.6977,71.8758,71.9122,32.1867
537826806.2804713,52.439398999999995,13.635743,810669.7350,810667.3653,71.8283,71.8646,32.1466
537826806.3299425,52.442249,13.634357,810670.3833,810668.0136,71.8004,71.8367,32.1262
537826806.3794141,52.445099,13.63297,810670.9337,810668.5640,71.8704,71.9067,32.2036
540159606.2143679,52.435812,13.646761999999999,810510.2755,810507.8712,71.6534,71.6372,31.9209
540159606.2638266,52.438660999999996,13.645375999999999,810510.9292,810508.5248,71.6169,71.6006,31.8917
540159606.3132727,52.44151,13.643989999999999,810511.5976,810509.1932,71.5653,71.5490,31.8475
540159606.362731,52.444359,13.642603999999999,810512.2468,810509.8424,71.5331,71.5169,31.8228
542492404.7632632,52.43978,13.647393,810425.4629,810423.0650,71.9982,71.9121,32.2097
542492404.8126967,52.442628,13.646008,810425.9902,810423.5924,72.0935,72.0075,32.3126
542492404.8621299,52.445477,13.644623,810426.6673,810424.2695,72.0390,71.9529,32.2656
544825208.7240031,52.429221999999996,13.637488,810528.7731,810526.3404,72.0467,71.9465,32.1982
544825208.7734358,52.432069999999996,13.636102,810529.6913,810527.2585,71.7558,71.6556,31.9149
544825208.8228941,52.434919,13.634716,810530.4367,810528.0039,71.6378,71.5377,31.8047
544825208.8723397,52.437768,13.633329,810531.0295,810528.5966,71.6724,71.5722,31.8469
544825208.9217851,52.440616,13.631943,810531.5408,810529.1079,71.7884,71.6883,31.9707
544825208.9712434,52.443466,13.630555999999999,810531.9738,810529.5408,71.9829,71.8828,32.1728
544825209.020689,52.446314,13.629169,810532.2613,810529.8283,72.3227,72.2226,32.5201
547158011.694586,52.427921,13.644729,810621.3048,810618.8573,71.8763,71.8281,32.0840
547158011.7440317,52.430769,13.643343,810625.9076,810623.4601,67.8950,67.8468,28.1103
547158011.7935026,52.43362,13.641957,810626.4365,810623.9891,67.9878,67.9396,28.2108
547158011.8429608,52.436468999999995,13.640571,810626.2605,810623.8131,68.7855,68.7373,29.0162
547158011.8924191,52.439318,13.639185,810624.9514,810622.5040,70.7162,70.6680,30.9545
547158011.9418774,52.442167,13.637799,810625.1659,810622.7186,71.1232,71.0750,31.3692
547158011.9913356,52.445017,13.636412,810625.2799,810622.8326,71.6309,71.5827,31.8846
549490815.6988139,52.427886,13.637176,810512.6234,810510.1026,71.9135,71.9524,32.1993
549490815.7482598,52.430734,13.635791,810513.2948,810510.7740,71.8564,71.8952,32.1498
549490815.7977059,52.433583,13.634406,810514.1308,810511.6101,71.6346,71.6735,31.9357
