Time,Latitude,Longitude,Range,CorrectedRange,LLH,CorrectedLLH,OrthometricHeight
514498800.6109116,52.370891,13.662402,810669.9807,810667.5642,71.4353,71.4489,31.5374
514498800.6603699,52.373740999999995,13.661019,810669.9373,810667.5208,72.1025,72.1161,32.2125
514498800.70982814,52.37659,13.659635999999999,810670.6089,810668.1924,72.0548,72.0684,32.1727
514498800.7592993,52.379439999999995,13.658252,810671.1697,810668.7532,72.1180,72.1316,32.2438
514498800.80875754,52.38229,13.656868999999999,810671.6901,810669.2736,72.2215,72.2351,32.3552
516831604.336663,52.369960999999996,13.664774,810552.5976,810550.1780,71.0598,71.0520,31.1411
516831604.3861215,52.372811,13.663390999999999,810552.2797,810549.8601,71.9903,71.9825,32.0794
516831604.4355676,52.375659999999996,13.662009,810552.8408,810550.4212,72.0416,72.0338,32.1384
516831604.4850137,52.378509,13.660625999999999,810553.3619,810550.9423,72.1329,72.1251,32.2375
516831604.5344598,52.381358,13.659243,810554.0241,810551.6045,72.0831,72.0752,32.1955
516831604.5839186,52.384206999999996,13.65786,810554.6938,810552.2742,72.0259,72.0180,32.1460
516831604.6333773,52.387057,13.656476,810555.2194,810552.7998,72.1128,72.1049,32.2407
519164404.9123652,52.37043,13.673067999999999,810323.0627,810320.5874,71.5276,71.5400,31.6399
519164404.96179795,52.373279,13.671686,810324.5685,810322.0932,70.6370,70.6494,30.7576
519164405.0112319,52.376127,13.670304,810323.7470,810321.2717,72.0737,72.0861,32.2025
519164405.0606649,52.378975,13.668922,810324.3252,810321.8499,72.1107,72.1231,32.2472
519164405.11009836,52.381823999999995,13.667539,810325.2797,810322.8045,71.7713,71.7837,31.9156
519164405.1595316,52.384671999999995,13.666157,810325.6525,810323.1773,72.0137,72.0261,32.1657
519164405.2089648,52.387519999999995,13.664774,810326.5074,810324.0322,71.7740,71.7864,31.9337
521497205.21583605,52.376359,13.674963,810312.4099,810309.8939,72.0160,72.0745,32.1970
521497205.26528144,52.379208,13.673580999999999,810313.0515,810310.5355,72.0014,72.0599,32.1901
521497205.3147142,52.382056999999996,13.672198,810313.7200,810311.2040,71.9597,72.0182,32.1562
521497205.3641472,52.384904999999996,13.670815999999999,810314.4247,810311.9087,71.8818,71.9403,32.0860
521497205.41357994,52.387753,13.669433999999999,810315.5915,810313.0755,71.3418,71.4003,31.5538
523830004.33174944,52.384014,13.674655999999999,810534.8942,810532.4260,71.9115,71.9907,32.1382
523830004.38119507,52.386863,13.673274,810535.5926,810533.1244,71.8425,71.9217,32.0769
523830004.4306531,52.389713,13.671890999999999,810536.5177,810534.0495,71.5469,71.6261,31.7891
526162802.4404812,52.370884,13.665413,810630.4491,810627.9620,71.0207,71.0644,31.1570
526162802.48993945,52.373732999999994,13.664029,810630.3682,810627.8811,71.7233,71.7670,31.8674
526162802.5393977,52.376583,13.662645999999999,810630.6550,810628.1678,72.0582,72.1019,32.2100
526162802.588856,52.379431999999994,13.661261999999999,810631.3288,810628.8416,72.0061,72.0498,32.1658
